Time[s], 通道 0, 通道 1, 通道 3, 通道 4, 通道 5, 通道 6
-0.987759999, 0, 0, 0, 0, 0, 0
0.000000000, 0, 0, 1, 0, 0, 0
0.000420000, 0, 0, 0, 1, 0, 0
0.000830000, 0, 0, 1, 1, 0, 0
0.001250000, 0, 0, 0, 1, 0, 0
0.001260000, 0, 0, 0, 0, 0, 0
0.001670000, 0, 0, 1, 0, 0, 0
0.002090000, 0, 0, 0, 0, 0, 0
0.002100000, 0, 0, 0, 1, 0, 0
0.002510000, 0, 0, 1, 1, 0, 0
0.002930000, 0, 0, 0, 1, 0, 0
0.002940000, 0, 0, 0, 0, 0, 0
0.003350000, 0, 0, 1, 0, 0, 0
0.003770000, 0, 0, 0, 1, 0, 0
0.004180000, 0, 0, 1, 1, 0, 0
0.004600000, 0, 0, 0, 1, 0, 0
0.004610000, 0, 0, 0, 0, 0, 0
0.005020000, 0, 0, 1, 0, 0, 0
0.005440000, 0, 0, 0, 0, 0, 0
0.005450000, 0, 0, 0, 1, 0, 0
0.005860000, 0, 0, 1, 1, 0, 0
0.006280000, 0, 0, 0, 1, 0, 0
0.006290000, 0, 0, 0, 0, 0, 0
0.006690000, 0, 0, 1, 0, 0, 0
0.007110000, 0, 0, 0, 0, 0, 0
0.007130000, 0, 0, 0, 1, 0, 0
0.007530000, 0, 0, 1, 1, 0, 0
0.007950000, 0, 0, 0, 1, 0, 0
0.007970000, 0, 0, 0, 0, 0, 0
0.008370000, 0, 0, 1, 0, 0, 0
0.008790000, 0, 0, 0, 0, 0, 0
0.008800000, 0, 0, 0, 1, 0, 0
0.009200000, 0, 0, 1, 1, 0, 0
0.009620000, 0, 0, 0, 1, 0, 0
0.009640000, 0, 0, 0, 0, 0, 0
0.010040000, 0, 0, 1, 0, 0, 0
0.010460000, 0, 0, 0, 0, 0, 0
0.010480000, 0, 0, 0, 1, 0, 0
0.010880000, 0, 0, 1, 1, 0, 0
0.011300000, 0, 0, 0, 1, 0, 0
0.011320000, 0, 0, 0, 0, 0, 0
0.011710000, 0, 0, 1, 0, 0, 0
0.012130000, 0, 0, 0, 0, 0, 0
0.012160000, 0, 0, 0, 1, 0, 0
0.012550000, 0, 0, 1, 1, 0, 0
0.012970000, 0, 0, 0, 1, 0, 0
0.013000000, 0, 0, 0, 0, 0, 0
0.013390000, 0, 0, 1, 0, 0, 0
0.013810000, 0, 0, 0, 0, 0, 0
0.013830000, 0, 0, 0, 1, 0, 0
0.014220000, 0, 0, 1, 1, 0, 0
0.014640000, 0, 0, 0, 1, 0, 0
0.014670000, 0, 0, 0, 0, 0, 0
0.015060000, 0, 0, 1, 0, 0, 0
0.015480000, 0, 0, 0, 0, 0, 0
0.015510000, 0, 0, 0, 1, 0, 0
0.015900000, 0, 0, 1, 1, 0, 0
0.016320000, 0, 0, 0, 1, 0, 0
0.016350000, 0, 0, 0, 0, 0, 0
0.016730000, 0, 0, 1, 0, 0, 0
0.017160000, 0, 0, 0, 0, 0, 0
0.017190000, 0, 0, 0, 1, 0, 0
0.017570000, 0, 0, 1, 1, 0, 0
0.017990000, 0, 0, 0, 1, 0, 0
0.018030000, 0, 0, 0, 0, 0, 0
0.018410000, 0, 0, 1, 0, 0, 0
0.018830000, 0, 0, 0, 0, 0, 0
0.018870000, 0, 0, 0, 1, 0, 0
0.019250000, 0, 0, 1, 1, 0, 0
0.019670000, 0, 0, 0, 1, 0, 0
0.019710000, 0, 0, 0, 0, 0, 0
0.020080000, 0, 0, 1, 0, 0, 0
0.020500000, 0, 0, 0, 0, 0, 0
0.020540000, 0, 0, 0, 1, 0, 0
0.020920000, 0, 0, 1, 1, 0, 0
0.021340000, 0, 0, 0, 1, 0, 0
0.021380000, 0, 0, 0, 0, 0, 0
0.021760000, 0, 0, 1, 0, 0, 0
0.022180000, 0, 0, 0, 0, 0, 0
0.022220000, 0, 0, 0, 1, 0, 0
0.022590000, 0, 0, 1, 1, 0, 0
0.023010000, 0, 0, 0, 1, 0, 0
0.023060000, 0, 0, 0, 0, 0, 0
0.023430000, 0, 0, 1, 0, 0, 0
0.023850000, 0, 0, 0, 0, 0, 0
0.023900000, 0, 0, 0, 1, 0, 0
0.024270000, 0, 0, 1, 1, 0, 0
0.024690000, 0, 0, 0, 1, 0, 0
0.024740000, 0, 0, 0, 0, 0, 0
0.025100000, 0, 0, 1, 0, 0, 0
0.025520000, 0, 0, 0, 0, 0, 0
0.025570000, 0, 0, 0, 1, 0, 0
0.025940000, 0, 0, 1, 1, 0, 0
0.026360000, 0, 0, 0, 1, 0, 0
0.026410000, 0, 0, 0, 0, 0, 0
0.026780000, 0, 0, 1, 0, 0, 0
0.027200000, 0, 0, 0, 0, 0, 0
0.027250000, 0, 0, 0, 1, 0, 0
0.027610000, 0, 0, 1, 1, 0, 0
0.028030000, 0, 0, 0, 1, 0, 0
0.028090000, 0, 0, 0, 0, 0, 0
0.028450000, 0, 0, 1, 0, 0, 0
0.028870000, 0, 0, 0, 0, 0, 0
0.028930000, 0, 0, 0, 1, 0, 0
0.029290000, 0, 0, 1, 1, 0, 0
0.029710000, 0, 0, 0, 1, 0, 0
